ID,WT,age,sex,region,edu,job,income,polview,d_paper,d_magazine,d_tv,d_radio,d_portal,d_messenger,d_sns,d_video,d_shortform,d_ott,d_ai,d_podcast,u_paper,u_magazine,u_tv,u_radio,u_portal,u_messenger,u_sns,u_video,u_shortform,u_ott,u_ai,u_podcast,p_share,p_like,p_comment,engagement,interest,trust_news,trust_new_src,paid_exp,paid_intent,news_none,main_path
79.0,0.7030444495179,74.0,1.0,17.0,2.0,12.0,5.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,4.0,0,0,0,5.0
80.0,0.5060069522000833,75.0,2.0,17.0,1.0,10.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,3.0,0,0,0,2.0
81.0,0.5320924936181862,53.0,2.0,17.0,2.0,3.0,4.0,3.0,0.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.3333333333333335,0,0,0,5.0
82.0,0.7944035980189469,45.0,1.0,3.0,3.0,6.0,9.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,5.0,3.0,3.6666666666666665,0,1,0,8.0
83.0,1.299369173965013,56.0,1.0,3.0,3.0,2.0,5.0,3.0,0.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4.0,2.0,2.3333333333333335,0,0,0,2.0
84.0,0.5102339548235841,40.0,2.0,17.0,3.0,6.0,8.0,2.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.0,0,0,0,5.0
85.0,1.025119506548203,34.0,1.0,17.0,3.0,6.0,9.0,3.0,0.0,0.0,7.0,5.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,3.3333333333333335,0,0,0,5.0
86.0,0.4342085496062026,61.0,1.0,17.0,1.0,3.0,4.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,3.6666666666666665,0,0,0,2.0
87.0,0.7528947486389185,63.0,1.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,2.0,3.3333333333333335,0,0,0,2.0
88.0,0.5995386710140065,64.0,2.0,17.0,2.0,3.0,2.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.0,0,0,0,2.0
89.0,0.3962588016304205,24.0,1.0,17.0,2.0,8.0,4.0,3.0,0.0,0.0,4.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,4.0,3.3333333333333335,0,0,0,5.0
90.0,0.4782255974871244,42.0,1.0,17.0,3.0,5.0,4.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,4.0,0,0,0,5.0
91.0,0.9035316748020725,72.0,1.0,3.0,1.0,12.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.6666666666666665,0,0,0,2.0
92.0,0.5102339548235841,41.0,2.0,17.0,3.0,10.0,4.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3.0,0,0,0,2.0
93.0,0.5994017036199893,25.0,2.0,17.0,3.0,3.0,4.0,3.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,5.0
94.0,0.9083309521875452,55.0,2.0,15.0,2.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.0,2.0,2.6666666666666665,0,0,0,13.0
95.0,1.519699628805495,62.0,1.0,15.0,2.0,6.0,5.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,2.3333333333333335,0,0,0,2.0
96.0,1.428467549594123,79.0,2.0,15.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,2.0
97.0,0.8354397317063174,42.0,2.0,3.0,3.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3.0,4.0,3.6666666666666665,0,0,0,13.0
98.0,0.8378704678539277,51.0,2.0,3.0,2.0,10.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.6666666666666665,0,0,0,2.0
99.0,0.8378704678539277,52.0,2.0,3.0,3.0,6.0,8.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,4.0,2.0,2.3333333333333335,0,0,0,5.0
100.0,1.053145037042445,38.0,2.0,15.0,3.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0,4.0,4.333333333333333,0,0,0,7.0
101.0,1.19160539702842,48.0,1.0,3.0,3.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4.0,4.0,4.0,0,0,0,5.0
102.0,0.7501447066782879,36.0,1.0,3.0,3.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,3.0,4.0,3.3333333333333335,0,0,0,13.0
103.0,0.7528947486389185,68.0,1.0,3.0,3.0,12.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,3.6666666666666665,0,0,0,2.0
104.0,2.09676018581257,54.0,1.0,1.0,3.0,2.0,6.0,2.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,4.0,3.0,3.6666666666666665,0,0,0,5.0
105.0,0.7499767854851214,61.0,2.0,3.0,2.0,10.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,0,0,0,2.0
106.0,0.8055045407375383,38.0,2.0,3.0,3.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3.0,3.0,3.6666666666666665,0,0,0,8.0
110.0,2.586500888932087,49.0,1.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,5.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,4.0,3.0,2.6666666666666665,0,0,0,2.0
111.0,2.635466404807554,49.0,2.0,1.0,2.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.6666666666666665,0,0,0,2.0
112.0,2.229150826506023,63.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.3333333333333335,0,0,0,2.0
113.0,2.795680247750092,59.0,1.0,1.0,2.0,3.0,7.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4.0,3.0,2.6666666666666665,0,0,0,2.0
114.0,2.187035465673059,39.0,1.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.3333333333333335,0,0,0,5.0
115.0,1.820283481059076,25.0,2.0,1.0,3.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.3333333333333335,0,0,0,5.0
117.0,1.318673005829929,59.0,2.0,1.0,3.0,3.0,5.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.6666666666666665,0,0,0,5.0
118.0,3.0887101628095,72.0,2.0,9.0,1.0,10.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.3333333333333335,0,0,0,2.0
119.0,2.363075735442465,58.0,1.0,9.0,2.0,5.0,4.0,2.0,0.0,0.0,7.0,3.0,7.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,3.0,4.0,3.3333333333333335,0,0,0,2.0
120.0,1.731290679710041,70.0,2.0,1.0,2.0,10.0,5.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0,4.0,3.0,0,0,0,2.0
121.0,0.3957445925526886,55.0,1.0,17.0,3.0,12.0,3.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,2.0,0,0,0,2.0
122.0,4.633065244214248,72.0,2.0,9.0,2.0,6.0,4.0,3.0,0.0,2.0,7.0,0.0,7.0,4.0,7.0,4.0,3.0,3.0,0.0,0.0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,3.0,4.0,4.333333333333333,0,0,0,5.0
123.0,3.140224591965692,34.0,1.0,9.0,3.0,6.0,3.0,2.0,0.0,0.0,3.0,0.0,7.0,7.0,7.0,4.0,4.0,0.0,0.0,4.0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,3,2.0,4.0,3.3333333333333335,1,1,0,7.0
125.0,3.191509460763882,47.0,1.0,9.0,2.0,5.0,5.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,2.0,0,0,0,2.0
126.0,3.52967935567908,58.0,2.0,9.0,2.0,3.0,3.0,4.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,4.0,4.0,3.6666666666666665,1,1,0,17.0
127.0,2.649018493466106,69.0,1.0,9.0,3.0,12.0,2.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1.6666666666666667,0,0,0,2.0
128.0,2.26418143796366,48.0,2.0,1.0,3.0,3.0,7.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3.0,4.0,2.6666666666666665,0,0,0,5.0
129.0,2.84472911548232,68.0,2.0,9.0,1.0,10.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1.3333333333333333,0,0,0,2.0
130.0,2.306891383488293,56.0,1.0,9.0,3.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,1.6666666666666667,0,0,0,2.0
131.0,2.04873404949152,53.0,2.0,1.0,3.0,6.0,7.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,2.6666666666666665,0,0,0,5.0
132.0,2.970334543897649,49.0,2.0,9.0,3.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,7.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,4.0,4.0,3.3333333333333335,0,0,0,5.0
133.0,3.460337075232439,58.0,1.0,9.0,2.0,2.0,5.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1.6666666666666667,0,0,0,2.0
134.0,1.365822699661013,59.0,2.0,1.0,2.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.0,0,0,0,2.0
135.0,2.353119570452721,56.0,2.0,9.0,2.0,5.0,5.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,4.0,4.0,4.0,0,0,0,17.0
136.0,4.165639500950445,67.0,2.0,9.0,2.0,2.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,0,0,0,2.0
138.0,3.171866091921665,74.0,1.0,9.0,1.0,12.0,2.0,5.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4.0,4.0,3.3333333333333335,0,0,0,2.0
139.0,3.115628316491097,42.0,1.0,9.0,2.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.0,0,0,0,2.0
140.0,4.0343656525454,73.0,2.0,9.0,1.0,10.0,2.0,4.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.3333333333333335,0,0,0,2.0
141.0,1.757761202563491,37.0,2.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0,4.0,3.6666666666666665,0,0,0,5.0
142.0,2.899712041650706,48.0,2.0,9.0,3.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,2.6666666666666665,0,0,0,2.0
143.0,0.5060069522000832,75.0,2.0,17.0,3.0,10.0,8.0,4.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,0,0,0,5.0
144.0,0.6246416215742063,47.0,1.0,17.0,3.0,3.0,3.0,2.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4.0,4.0,3.3333333333333335,0,0,0,5.0
145.0,3.367582537777447,60.0,1.0,1.0,2.0,2.0,7.0,3.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,3.0,3.0,2.6666666666666665,0,0,0,2.0
146.0,0.5102339548235839,41.0,2.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,0,0,0,5.0
147.0,0.4342085496062026,62.0,1.0,17.0,2.0,3.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,2.0
148.0,1.484490589616269,28.0,1.0,1.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3.0,4.0,3.3333333333333335,0,0,0,5.0
149.0,2.169071406861316,29.0,2.0,9.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.6666666666666665,0,0,0,5.0
150.0,0.7251780724350435,52.0,1.0,17.0,2.0,4.0,9.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,4.0,0,0,0,8.0
151.0,2.807643446512346,29.0,1.0,1.0,3.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,3.0,3.0,2.3333333333333335,0,0,0,13.0
152.0,0.6694877002008031,36.0,1.0,17.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,3.6666666666666665,0,0,0,5.0
153.0,0.7653509322353761,49.0,2.0,17.0,2.0,3.0,5.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,2.0
154.0,0.35152222475895,71.0,1.0,17.0,1.0,1.0,2.0,4.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.6666666666666665,0,0,0,2.0
155.0,0.1773641645393954,58.0,2.0,17.0,2.0,3.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,4.0,0,0,0,2.0
